Domain, Pdq
0.005775,0.366178566782
0.0058,0.365802857157
0.005825,0.365418452879
0.00585,0.365025607177
0.005875,0.364624568852
0.0059,0.364215582164
0.005925,0.363798886732
0.00595,0.363374717449
0.005975,0.362943304405
0.006,0.362504872829
0.006025,0.36205964304
0.00605,0.361607830412
0.006075,0.361149645349
0.0061,0.360685293273
0.006125,0.36021497462
0.00615,0.359738884849
0.006175,0.359257214461
0.0062,0.358770149026
0.006225,0.358277869215
0.00625,0.357780550849
0.006275,0.357278364948
0.0063,0.356771477789
0.006325,0.356260050971
0.00635,0.35574424149
0.006375,0.355224201808
0.0064,0.354700079942
0.006425,0.354172019545
0.00645,0.353640160003
0.006475,0.35310463652
0.0065,0.352565580224
0.006525,0.352023118265
0.00655,0.351477373914
0.006575,0.350928466678
0.0066,0.350376512398
0.006625,0.349821623368
0.00665,0.349263908437
0.006675,0.348703473128
0.0067,0.348140419752
0.006725,0.347574847516
0.00675,0.347006852644
0.006775,0.346436528491
0.0068,0.345863965657
0.006825,0.345289252106
0.00685,0.344712473279
0.006875,0.344133712211
0.0069,0.343553049643
0.006925,0.342970564142
0.00695,0.342386332211
0.006975,0.341800428404
0.007,0.341212925434
0.007025,0.340623894292
0.00705,0.340033404347
0.007075,0.339441523462
0.0071,0.338848318097
0.007125,0.338253853414
0.00715,0.337658193384
0.007175,0.337061400885
0.0072,0.336463537802
0.007225,0.335864665126
0.00725,0.335264843048
0.007275,0.334664131051
0.0073,0.334062588005
0.007325,0.333460272247
0.00735,0.332857241675
0.007375,0.332253553824
0.0074,0.331649265947
0.007425,0.331044435096
0.00745,0.330439118188
0.007475,0.329833372085
0.0075,0.329227253653
0.007525,0.328620819832
0.00755,0.328014127698
0.007575,0.327407234514
0.0076,0.326800197793
0.007625,0.326193075346
0.00765,0.325585925329
0.007675,0.324978806289
0.0077,0.324371777206
0.007725,0.323764897531
0.00775,0.32315822722
0.007775,0.322551826765
0.0078,0.321945757226
0.007825,0.32134008025
0.00785,0.320734858097
0.007875,0.320130153658
0.0079,0.31952603047
0.007925,0.318922552726
0.00795,0.318319785288
0.007975,0.317717793691
0.008,0.317116644147
0.008025,0.316516403546
0.00805,0.315917139452
0.008075,0.3153189201
0.0081,0.314721814387
0.008125,0.314125891863
0.00815,0.313531222717
0.008175,0.312937877762
0.0082,0.31234592842
0.008225,0.311755446701
0.00825,0.31116650518
0.008275,0.310579176975
0.0083,0.309993535721
0.008325,0.309409655543
0.00835,0.308827611027
0.008375,0.308247477187
0.0084,0.307669329436
0.008425,0.307093243548
0.00845,0.30651929563
0.008475,0.305947562075
0.0085,0.305378119535
0.008525,0.304811044875
0.00855,0.304246415136
0.008575,0.303684307494
0.0086,0.303124799221
0.008625,0.302567967638
0.00865,0.302013890076
0.008675,0.301462643832
0.0087,0.300914306125
0.008725,0.300368954052
0.00875,0.299826664544
0.008775,0.299287514319
0.0088,0.298751579842
0.008825,0.298218937279
0.00885,0.297689662447
0.008875,0.297163830779
0.0089,0.296641517271
0.008925,0.296122796444
0.00895,0.295607742296
0.008975,0.295096428264
0.009,0.294588927175
0.009025,0.294085311211
0.00905,0.29358565186
0.009075,0.293090019882
0.0091,0.292598485264
0.009125,0.292111117182
0.00915,0.291627983967
0.009175,0.291149153058
0.0092,0.290674690974
0.009225,0.290204663276
0.00925,0.28973913453
0.009275,0.289278168275
0.0093,0.288821826992
0.009325,0.288370172071
0.00935,0.287923263781
0.009375,0.287481161241
0.0094,0.287043922393
0.009425,0.286611603976
0.00945,0.286184261498
0.009475,0.285761949217
0.0095,0.285344720112
0.009525,0.284932625868
0.00955,0.284525716853
0.009575,0.284124042098
0.0096,0.283727649284
0.009625,0.283336584721
0.00965,0.282950893337
0.009675,0.282570618664
0.0097,0.282195802826
0.009725,0.281826486528
0.00975,0.281462709045
0.009775,0.28110450822
0.0098,0.28075192045
0.009825,0.280404980686
0.00985,0.280063722428
0.009875,0.279728177719
0.0099,0.279398377148
0.009925,0.279074349847
0.00995,0.278756123491
0.009975,0.278443724304
0.01,0.278137177059
0.010025,0.277836505081
0.01005,0.277541730258
0.010075,0.277252873042
0.0101,0.276969952458
0.010125,0.276692986116
0.01015,0.276421990215
0.010175,0.276156979558
0.0102,0.275897967561
0.010225,0.275644966266
0.01025,0.275397986354
0.010275,0.275157037159
0.0103,0.274922126684
0.010325,0.274693261614
0.01035,0.274470447334
0.010375,0.274253687945
0.0104,0.274042986282
0.010425,0.273838343933
0.01045,0.273639761254
0.010475,0.273447237395
0.0105,0.27326077031
0.010525,0.273080356788
0.01055,0.272905992466
0.010575,0.27273767185
0.0106,0.272575388342
0.010625,0.272419134255
0.01065,0.272268900841
0.010675,0.272124678309
0.0107,0.271986455846
0.010725,0.271854221646
0.01075,0.271727962926
0.010775,0.271607665953
0.0108,0.271493316064
0.010825,0.271384897693
0.01085,0.271282394389
0.010875,0.271185788843
0.0109,0.271095062908
0.010925,0.271010197625
0.01095,0.270931173243
0.010975,0.270857969244
0.011,0.270790564364
0.011025,0.270728936616
0.01105,0.270673063313
0.011075,0.270622921089
0.0111,0.270578485921
0.011125,0.270539733152
0.01115,0.27050663751
0.011175,0.270479173131
0.0112,0.270457313581
0.011225,0.270441031872
0.01125,0.270430300488
0.011275,0.270425091399
0.0113,0.270425376085
0.011325,0.270431125553
0.01135,0.270442310358
0.011375,0.270458900618
0.0114,0.270480866033
0.011425,0.270508175907
0.01145,0.270540799157
0.011475,0.270578704338
0.0115,0.270621859653
0.011525,0.270670232975
0.01155,0.270723791857
0.011575,0.270782503548
0.0116,0.270846335013
0.011625,0.270915252939
0.01165,0.270989223756
0.011675,0.271068213646
0.0117,0.271152188557
0.011725,0.271241114217
0.01175,0.271334956143
0.011775,0.271433679655
0.0118,0.271537249889
0.011825,0.271645631801
0.01185,0.271758790185
0.011875,0.271876689678
