"P1_x","P1_y"
0.01681,0.3398534745,
0.01691,0.3413085749,
0.01701,0.3427383907,
0.01711,0.3441419632,
0.01721,0.3455183871,
0.01731,0.3468668097,
0.01741,0.3481864303,
0.01751,0.3494764993,
0.01761,0.3507363175,
0.01771,0.3519652357,
0.01781,0.3531626536,
0.01791,0.3543280193,
0.01801,0.3554608286,
0.01811,0.3565606242,
0.01821,0.3576269953,
0.01831,0.3586595768,
0.01841,0.3596580486,
0.01851,0.3606221347,
0.01861,0.3615516031,
0.01871,0.3624462645,
0.01881,0.3633059718,
0.01891,0.3641306195,
0.01901,0.3649201426,
0.01911,0.3656745159,
0.01921,0.3663937533,
0.01931,0.3670779069,
0.01941,0.3677270657,
0.01951,0.3683413554,
0.01961,0.3689209365,
0.01971,0.3694660041,
0.01981,0.3699767865,
0.01991,0.370453544,
0.02001,0.3708965683,
0.02011,0.3713061808,
0.02021,0.3716827319,
0.02031,0.3720265998,
0.02041,0.3723381892,
0.02051,0.3726179302,
0.02061,0.3728662775,
0.02071,0.3730837086,
0.02081,0.3732707231,
0.02091,0.3734278414,
0.02101,0.3735556038,
0.02111,0.3736545689,
0.02121,0.3737253129,
0.02131,0.3737684284,
0.02141,0.3737845232,
0.02151,0.3737742193,
0.02161,0.3737381517,
0.02171,0.3736769679,
0.02181,0.373591326,
0.02191,0.3734818946,
0.02201,0.3733493512,
0.02211,0.3731943815,
0.02221,0.3730176784,
0.02231,0.3728199411,
0.02241,0.3726018744,
0.02251,0.3723641872,
0.02261,0.3721075924,
0.02271,0.3718328056,
0.02281,0.3715405445,
0.02291,0.3712315278,
0.02301,0.3709064747,
0.02311,0.370566104,
0.02321,0.3702111334,
0.02331,0.3698422789,
0.02341,0.3694602537,
0.02351,0.3690657679,
0.02361,0.3686595276,
0.02371,0.3682422345,
0.02381,0.3678145849,
0.02391,0.3673772695,
0.02401,0.3669309724,
0.02411,0.3664763707,
0.02421,0.3660141343,
0.02431,0.3655449246,
0.02441,0.3650693948,
0.02451,0.364588189,
0.02461,0.3641019415,
0.02471,0.363611277,
0.02481,0.3631168096,
0.02491,0.3626191428,
0.02501,0.3621188688,
0.02511,0.3616165683,
0.02521,0.3611128104,
0.02531,0.3606081517,
0.02541,0.3601031367,
0.02551,0.3595982968,
0.02561,0.3590941509,
0.02571,0.3585912043,
0.02581,0.3580899491,
0.02591,0.3575908639,
0.02601,0.3570944134,
0.02611,0.3566010486,
0.02621,0.3561112061,
0.02631,0.3556253089,
0.02641,0.3551437652,
0.02651,0.3546669694,
0.02661,0.3541953012,
0.02671,0.3537291261,
0.02681,0.353268795,
0.02691,0.3528146445,
0.02701,0.3523669968,
0.02711,0.3519261597,
0.02721,0.3514924263,
0.02731,0.3510660759,
0.02741,0.3506473732,
0.02751,0.3502365689,
0.02761,0.3498338995,
0.02771,0.3494395875,
0.02781,0.3490538418,
0.02791,0.3486768574,
0.02801,0.3483088155,
0.02811,0.3479498843,
0.02821,0.3476002185,
0.02831,0.3472599595,
0.02841,0.3469292362,
0.02851,0.3466081645,
0.02861,0.3462968479,
0.02871,0.3459953775,
0.02881,0.3457038323,
0.02891,0.3454222795,
0.02901,0.3451507746,
0.02911,0.3448893618,
0.02921,0.3446380741,
0.02931,0.3443969336,
0.02941,0.3441659517,
0.02951,0.3439451296,
0.02961,0.3437344582,
0.02971,0.3435339187,
0.02981,0.3433434827,
0.02991,0.3431631125,
0.03001,0.3429927615,
0.03011,0.3428323744,
0.03021,0.3426818874,
0.03031,0.3425412286,
0.03041,0.3424103184,
0.03051,0.3422890695,
0.03061,0.3421773876,
0.03071,0.3420751712,
0.03081,0.3419823122,
0.03091,0.3418986965,
0.03101,0.3418242035,
0.03111,0.3417587072,
0.03121,0.3417020759,
0.03131,0.3416541729,
0.03141,0.3416148566,
0.03151,0.3415839807,
0.03161,0.3415613949,
0.03171,0.3415469446,
0.03181,0.3415404716,
0.03191,0.3415418143,
0.03201,0.3415508079,
0.03211,0.3415672847,
0.03221,0.3415910744,
0.03231,0.3416220043,
0.03241,0.3416598996,
0.03251,0.3417045839,
0.03261,0.3417558788,
0.03271,0.3418136049,
0.03281,0.3418775816,
0.03291,0.3419476274,
0.03301,0.3420235602,
0.03311,0.3421051977,
0.03321,0.3421923572,
0.03331,0.342284856,
0.03341,0.3423825119,
0.03351,0.3424851431,
0.03361,0.3425925683,
0.03371,0.3427046072,
0.03381,0.3428210806,
0.03391,0.3429418104,
0.03401,0.34306662,
0.03411,0.3431953343,
0.03421,0.34332778,
0.03431,0.3434637857,
0.03441,0.343603182,
0.03451,0.3437458017,
0.03461,0.34389148,
0.03471,0.3440400545,
0.0348,0.3441761156,
0.0349,0.3443297548,
0.035,0.3444858343,
0.0351,0.3446442024,
0.0352,0.3448047104,
0.0353,0.3449672129,
0.0354,0.3451315676,
0.0355,0.3452976352,
0.0356,0.3454652801,
0.0357,0.3456343701,
0.0358,0.3458047762,
0.0359,0.3459763733,
0.036,0.3461490396,
0.0361,0.3463226571,
0.0362,0.3464971115,
0.0363,0.346672292,
0.0364,0.3468480917,
0.0365,0.3470244076,
0.0366,0.3472011402,
0.0367,0.347378194,
0.0368,0.3475554771,
0.0369,0.3477329016,
0.037,0.3479103834,
0.0371,0.348087842,
0.0372,0.3482652009,
0.0373,0.3484423872,
0.0374,0.3486193318,
0.0375,0.3487959693,
0.0376,0.3489722382,
0.0377,0.3491480802,
0.0378,0.3493234411,
0.0379,0.34949827,
0.038,0.3496725196,
0.0381,0.3498461461,
0.0382,0.350019109,
0.0383,0.3501913716,
0.0384,0.3503628999,
0.0385,0.3505336637,
0.0386,0.3507036356,
0.0387,0.3508727917,
0.0388,0.3510411109,
0.0389,0.3512085751,
0.039,0.3513751693,
0.0391,0.3515408813,
0.0392,0.3517057014,
0.0393,0.351869623,
0.0394,0.3520326418,
0.0395,0.3521947561,
0.0396,0.3523559669,
0.0397,0.3525162771,
0.0398,0.3526756923,
0.0399,0.3528342201,
0.04,0.3529918702,
0.0401,0.3531486543,
0.0402,0.3533045862,
0.0403,0.3534596813,
0.0404,0.3536139569,
0.0405,0.3537674319,
0.0406,0.3539201269,
0.0407,0.3540720638,
0.0408,0.3542232661,
0.0409,0.3543737584,
0.041,0.3545235666,
0.0411,0.3546727178,
0.0412,0.3548212401,
0.0413,0.3549691625,
0.0414,0.3551165151,
0.0415,0.3552633284,
0.0416,0.3554096339,
0.0417,0.3555554636,
0.0418,0.3557008502,
0.0419,0.3558458267,
0.042,0.3559904265,
0.0421,0.3561346833,
0.0422,0.3562786311,
0.0423,0.3564223039,
0.0424,0.3565657361,
0.0425,0.3567089618,
0.0426,0.3568520151,
0.0427,0.35699493,
0.0428,0.3571377403,
0.0429,0.3572804797,
0.043,0.3574231812,
0.0431,0.3575658778,
0.0432,0.3577086019,
0.0433,0.3578513852,
0.0434,0.3579942593,
0.0435,0.3581372548,
0.0436,0.3582804019,
0.0437,0.3584237298,
0.0438,0.3585672672,
0.0439,0.358711042,
0.044,0.3588550812,
0.0441,0.3589994108,
0.0442,0.359144056,
0.0443,0.3592890412,
0.0444,0.3594343896,
0.0445,0.3595801233,
0.0446,0.3597262638,
0.0447,0.359872831,
0.0448,0.360019844,
0.0449,0.3601673208,
0.045,0.3603152782,
0.0451,0.3604637317,
0.0452,0.3606126959,
0.0453,0.3607621841,
0.0454,0.3609122083,
0.0455,0.3610627794,
0.0456,0.3612139071,
0.0457,0.3613655999,
0.0458,0.3615178649,
0.0459,0.3616707081,
0.046,0.3618241344,
0.0461,0.3619781474,
0.0462,0.3621327492,
0.0463,0.3622879411,
0.0464,0.362443723,
0.0465,0.3626000936,
0.0466,0.3627570504,
0.0467,0.3629145898,
0.0468,0.3630727071,
0.0469,0.3632313961,
0.047,0.36339065,
0.0471,0.3635504604,
0.0472,0.3637108182,
0.0473,0.363871713,
0.0474,0.3640331333,
0.0475,0.3641950669,
0.0476,0.3643575003,
0.0477,0.3645204191,
0.0478,0.364683808,
0.0479,0.3648476507,
0.048,0.3650119302,
0.0481,0.3651766284,
0.0482,0.3653417265,
0.0483,0.365507205,
0.0484,0.3656730434,
0.0485,0.3658392206,
0.0486,0.3660057149,
0.0487,0.3661725037,
0.0488,0.366339564,
0.0489,0.3665068721,
0.049,0.3666744037,
0.0491,0.3668421342,
0.0492,0.3670100381,
0.0493,0.3671780899,
0.0494,0.3673462634,
0.0495,0.3675145321,
0.0496,0.3676828692,
0.0497,0.3678512477,
0.0498,0.36801964,
0.0499,0.3681880187,
0.05,0.3683563558,
0.0501,0.3685246236,
0.0502,0.3686927938,
0.0503,0.3688608384,
0.0504,0.3690287292,
0.0505,0.3691964381,
0.0506,0.3693639368,
0.0507,0.3695311973,
0.0508,0.3696981917,
0.0509,0.369864892,
0.051,0.3700312707,
0.0511,0.3701973003,
0.0512,0.3703629536,
0.0513,0.3705282036,
0.0514,0.3706930237,
0.0515,0.3708573876,
0.0516,0.3710212694,
0.0517,0.3711846436,
0.0518,0.3713474849,
0.0519,0.3715097689,
0.052,0.3716714714,
0.0521,0.3718325686,
0.0522,0.3719930375,
0.0523,0.3721528555,
0.0524,0.3723120007,
0.0525,0.3724704517,
0.0526,0.3726281878,
0.0527,0.3727851889,
0.0528,0.3729414358,
0.0529,0.3730969096,
0.053,0.3732515925,
0.0531,0.3734054672,
0.0532,0.3735585172,
0.0533,0.3737107269,
0.0534,0.3738620813,
0.0535,0.3740125664,
0.0536,0.3741621687,
0.0537,0.3743108759,
0.0538,0.3744586764,
0.0539,0.3746055592,
0.054,0.3747515146,
0.0541,0.3748965333,
0.0542,0.3750406074,
0.0543,0.3751837293,
0.0544,0.3753258928,
0.0545,0.3754670923,
0.0546,0.3756073231,
0.0547,0.3757465815,
0.0548,0.3758848647,
0.0549,0.3760221707,
0.055,0.3761584985,
0.0551,0.376293848,
0.0552,0.3764282198,
0.0553,0.3765616158,
0.0554,0.3766940383,
0.0555,0.3768254908,
0.0556,0.3769559777,
0.0557,0.3770855041,
0.0558,0.377214076,
0.0559,0.3773417004,
0.056,0.3774683851,
0.0561,0.3775941386,
0.0562,0.3777189703,
0.0563,0.3778428906,
0.0564,0.3779659104,
0.0565,0.3780880417,
0.0566,0.3782092971,
0.0567,0.3783296899,
0.0568,0.3784492344,
0.0569,0.3785679455,
