Domain,Pdq
0.0,0.0
2.5e-05,0.0
5.0e-05,6.02214408957e-13
7.5e-05,7.77224550625e-12
0.0001,4.89958816145e-11
0.000125,2.03408929544e-10
0.00015,6.45036407153e-10
0.000175,1.69748230595e-09
0.0002,3.5249579382e-09
0.000225,6.7695433655e-09
0.00025,1.24470958995e-08
0.000275,2.18175533928e-08
0.0003,3.67569014224e-08
0.000325,5.97571737487e-08
0.00035,9.40155884719e-08
0.000375,1.43519981844e-07
0.0004,2.10948588484e-07
0.000425,2.99709276262e-07
0.00045,4.13909701721e-07
0.000475,5.59148629405e-07
0.0005,7.47824789702e-07
0.000525,9.86582775875e-07
0.00055,1.28482554341e-06
0.000575,1.65325927454e-06
0.0006,2.1039221875e-06
0.000625,2.65019786101e-06
0.00065,3.30681296974e-06
0.000675,4.08981956925e-06
0.0007,5.01656229703e-06
0.000725,6.1056310678e-06
0.00075,7.37680003318e-06
0.000775,8.79906476203e-06
0.0008,1.04279389464e-05
0.000825,1.22909465693e-05
0.00085,1.44081585116e-05
0.000875,1.68027332065e-05
0.0009,1.94986476683e-05
0.000925,2.25205870174e-05
0.00095,2.58938269124e-05
0.000975,2.96441103855e-05
0.001,3.37975206033e-05
0.001025,3.83803510787e-05
0.00105,4.34189748403e-05
0.001075,4.89397140276e-05
0.0011,5.49687113239e-05
0.001125,6.1531804566e-05
0.00115,6.86544057817e-05
0.001175,7.63613858087e-05
0.0012,8.46769655373e-05
0.001225,9.36246147017e-05
0.00125,0.000103226959024
0.001275,0.000113505696381
0.0013,0.000124481522547
0.001325,0.00013617406692
0.00135,0.000148601838521
0.001375,0.000161782182438
0.0014,0.000175731246745
0.001425,0.00019046395984
0.00145,0.000205994018008
0.001475,0.000222333882946
0.0015,0.000239494788878
0.001525,0.000257486758813
0.00155,0.000276318629417
0.001575,0.000295998083934
0.0016,0.000316531692514
0.001625,0.00033792495927
0.00165,0.000360182375368
0.001675,0.000383307477417
0.0017,0.000407302910416
0.001725,0.000432170494519
0.00175,0.00045791129487
0.001775,0.000483915021035
0.0018,0.000511260509789
0.001825,0.000539471365607
0.00185,0.000568547038261
0.001875,0.000598486627329
0.0019,0.000629288951182
0.001925,0.000660952614418
0.00195,0.000693476073262
0.001975,0.000726857698507
0.002,0.000761095835622
0.002025,0.000796188861684
0.00205,0.000832135238855
0.002075,0.000868933564151
0.0021,0.000904440457087
0.002125,0.000939122943094
0.00215,0.000974229414862
0.002175,0.00101006662259
0.0022,0.00104664415728
0.002225,0.00108397497822
0.00225,0.00112207270449
0.002275,0.00116095163143
0.0023,0.00120062673915
0.002325,0.0012411136922
0.00235,0.00128242882974
0.002375,0.001324589146
0.0024,0.00136565452686
0.002425,0.00140569434636
0.00245,0.00144472409773
0.002475,0.00148277133213
0.0025,0.00151989770482
0.002525,0.00155837036265
0.00255,0.00159772745334
0.002575,0.00163798566392
0.0026,0.0016791631487
0.002625,0.00172127986993
0.00265,0.00176435787749
0.002675,0.00180842152371
0.0027,0.00185227441527
0.002725,0.001895508234
0.00275,0.00193818294565
0.002775,0.00198037410211
0.0028,0.00202218470413
0.002825,0.00206374243558
0.00285,0.00210519670133
0.002875,0.00214769370586
0.0029,0.00219144939993
0.002925,0.00223641380025
0.00295,0.00228255240923
0.002975,0.00232984026335
0.003,0.00237826273922
0.003025,0.00242656098445
0.00305,0.00247518024322
0.003075,0.00252422333674
0.0031,0.00257381176718
0.003125,0.00262408134333
0.00315,0.00267517782938
0.003175,0.00272725557467
0.0032,0.00278047288724
0.003225,0.00283499333436
