EIG100x,EIG100y,EIG1000x,EIG1000y,EIG10000x,EIG10000y
-1.00E+01,-6.76E-01,-9.99E+00,-6.80E-01,-9.99E+00,-6.80E-01
-9.96E+00,5.12E-01,-9.95E+00,5.15E-01,-9.95E+00,5.15E-01
-9.96E+00,-5.12E-01,-9.95E+00,-5.15E-01,-9.95E+00,-5.15E-01
-9.97E+00,4.96E-01,-9.96E+00,4.98E-01,-9.96E+00,4.98E-01
-9.97E+00,-4.96E-01,-9.96E+00,-4.98E-01,-9.96E+00,-4.98E-01
-9.97E+00,4.94E-01,-9.96E+00,4.96E-01,-9.96E+00,4.97E-01
-9.97E+00,-4.94E-01,-9.96E+00,-4.96E-01,-9.96E+00,-4.97E-01
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
-1.00E+00,0.00E+00,-1.00E+00,0.00E+00,-1.00E+00,0.00E+00
