0.2x,0.2y,0.22x,0.22y,0.24x,0.24y,0.26x,0.26y,0.28x,0.28y,0.3x,0.3y,0.32x,0.32y,0.34x,0.34y,0.36x,0.36y
-0.627,-16.2,-0.63,-16.3,-0.633,-16.3,-0.635,-16.4,-0.637,-16.5,-0.639,-16.5,-0.64,-16.6,-0.641,-16.6,-0.643,-16.7
-0.626,17.8,-0.629,17.9,-0.631,18,-0.633,18,-0.634,18.1,-0.636,18.1,-0.637,18.2,-0.638,18.3,-0.638,18.3
-0.626,-17.8,-0.629,-17.9,-0.631,-18,-0.633,-18,-0.634,-18.1,-0.636,-18.1,-0.637,-18.2,-0.638,-18.3,-0.638,-18.3
-0.619,18.1,-0.622,18.2,-0.624,18.2,-0.625,18.3,-0.627,18.4,-0.628,18.4,-0.629,18.5,-0.629,18.5,-0.63,18.6
-0.619,-18.1,-0.622,-18.2,-0.624,-18.2,-0.625,-18.3,-0.627,-18.4,-0.628,-18.4,-0.629,-18.5,-0.629,-18.5,-0.63,-18.6
-1.98,0,-1.98,0,-1.98,0,-1.98,0,-1.98,0,-1.98,0,-1.98,0,-1.98,0,-1.98,0
-9.99,0.68,-9.99,0.678,-9.99,0.676,-9.99,0.674,-9.99,0.673,-9.99,0.671,-9.99,0.669,-9.99,0.667,-9.99,0.665
-9.99,-0.68,-9.99,-0.678,-9.99,-0.676,-9.99,-0.674,-9.99,-0.673,-9.99,-0.671,-9.99,-0.669,-9.99,-0.667,-9.99,-0.665
-9.95,0.515,-9.96,0.5,-9.96,0.485,-9.96,0.472,-9.96,0.46,-9.96,0.449,-9.96,0.438,-9.96,0.428,-9.96,0.419
-9.95,-0.515,-9.96,-0.5,-9.96,-0.485,-9.96,-0.472,-9.96,-0.46,-9.96,-0.449,-9.96,-0.438,-9.96,-0.428,-9.96,-0.419
-9.96,0.498,-9.96,0.482,-9.96,0.468,-9.96,0.455,-9.96,0.442,-9.97,0.431,-9.97,0.42,-9.97,0.411,-9.97,0.401
-9.96,-0.498,-9.96,-0.482,-9.96,-0.468,-9.96,-0.455,-9.96,-0.442,-9.97,-0.431,-9.97,-0.42,-9.97,-0.411,-9.97,-0.401
-9.96,0.497,-9.96,0.481,-9.96,0.466,-9.96,0.453,-9.96,0.441,-9.97,0.429,-9.97,0.419,-9.97,0.409,-9.97,0.399
-9.96,-0.497,-9.96,-0.481,-9.96,-0.466,-9.96,-0.453,-9.96,-0.441,-9.97,-0.429,-9.97,-0.419,-9.97,-0.409,-9.97,-0.399
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
